iter	Passed	Remaining
0	150	752094
1	277	692238
2	420	700340
3	540	674604
4	659	659087
5	839	698546
6	1008	719551
7	1196	746863
8	1361	754817
9	1533	765279
10	1691	767309
11	1870	777559
12	2033	780073
13	2197	782513
14	2356	783206
15	2534	789450
16	2711	794666
17	2851	789259
18	3015	790412
19	3206	798495
20	3370	799144
21	3546	802473
22	3704	801644
23	3882	805009
24	4043	804642
25	4210	805536
26	4403	810968
27	4559	809642
28	4721	809368
29	4887	809639
30	5068	812354
31	5251	815231
32	5406	813834
33	5590	816502
34	5765	817876
35	5924	816915
36	6086	816420
37	6241	815052
38	6412	815668
39	6556	813067
40	6705	811073
